sample_id	superpopulation	population	sex
HG01882	AFR	ACB	1
HG01885	AFR	ACB	1
HG01889	AFR	ACB	2
HG01896	AFR	ACB	2
HG01914	AFR	ACB	1
HG01956	AFR	ACB	2
HG01985	AFR	ACB	2
HG02014	AFR	ACB	1
HG02107	AFR	ACB	1
HG02108	AFR	ACB	2
HG02144	AFR	ACB	2
HG02256	AFR	ACB	2
HG02283	AFR	ACB	1
HG02307	AFR	ACB	1
HG02309	AFR	ACB	2
HG02314	AFR	ACB	1
HG02315	AFR	ACB	2
HG02318	AFR	ACB	2
HG02322	AFR	ACB	2
HG02330	AFR	ACB	1
HG02332	AFR	ACB	1
HG02337	AFR	ACB	2
HG02339	AFR	ACB	2
HG02343	AFR	ACB	1
HG02419	AFR	ACB	2
HG02420	AFR	ACB	1
HG02427	AFR	ACB	2
HG02429	AFR	ACB	1
HG02439	AFR	ACB	1
HG02445	AFR	ACB	1
HG02449	AFR	ACB	1
HG02455	AFR	ACB	1
HG02461	AFR	GWD	1
HG02464	AFR	GWD	1
HG02484	AFR	ACB	1
HG02497	AFR	ACB	2
HG02501	AFR	ACB	1
HG02508	AFR	ACB	2
HG02536	AFR	ACB	1
HG02541	AFR	ACB	1
HG02557	AFR	ACB	1
HG02562	AFR	GWD	2
HG02568	AFR	GWD	2
HG02570	AFR	GWD	1
HG02580	AFR	ACB	2
HG02585	AFR	GWD	1
HG02589	AFR	GWD	2
HG02594	AFR	GWD	1
HG02595	AFR	GWD	2
HG02614	AFR	GWD	2
HG02623	AFR	GWD	1
HG02624	AFR	GWD	2
HG02628	AFR	GWD	1
HG02629	AFR	GWD	2
HG02634	AFR	GWD	1
HG02635	AFR	GWD	2
HG02675	AFR	GWD	1
HG02676	AFR	GWD	2
HG02703	AFR	GWD	2
HG02715	AFR	GWD	1
HG02756	AFR	GWD	1
HG02757	AFR	GWD	2
HG02759	AFR	GWD	1
HG02760	AFR	GWD	2
HG02763	AFR	GWD	2
HG02768	AFR	GWD	1
HG02772	AFR	GWD	2
HG02799	AFR	GWD	2
HG02805	AFR	GWD	2
HG02807	AFR	GWD	1
HG02808	AFR	GWD	2
HG02810	AFR	GWD	1
HG02811	AFR	GWD	2
HG02817	AFR	GWD	2
HG02819	AFR	GWD	1
HG02836	AFR	GWD	1
HG02839	AFR	GWD	1
HG02840	AFR	GWD	2
HG02852	AFR	GWD	2
HG02855	AFR	GWD	2
HG02870	AFR	GWD	2
HG02881	AFR	GWD	1
HG02882	AFR	GWD	2
HG02884	AFR	GWD	1
HG02887	AFR	GWD	1
HG02888	AFR	GWD	2
HG02941	AFR	ESN	1
HG02944	AFR	ESN	1
HG02965	AFR	ESN	1
HG02974	AFR	ESN	2
HG02977	AFR	ESN	1
HG02982	AFR	GWD	1
HG02983	AFR	GWD	2
HG03025	AFR	GWD	2
HG03045	AFR	GWD	1
HG03046	AFR	GWD	2
HG03048	AFR	GWD	1
HG03049	AFR	GWD	2
HG03057	AFR	MSL	1
HG03061	AFR	MSL	2
HG03064	AFR	MSL	2
HG03072	AFR	MSL	1
HG03073	AFR	MSL	2
HG03074	AFR	MSL	1
HG03081	AFR	MSL	1
HG03085	AFR	MSL	2
HG03091	AFR	MSL	2
HG03097	AFR	MSL	2
HG03099	AFR	ESN	2
HG03108	AFR	ESN	2
HG03109	AFR	ESN	1
HG03114	AFR	ESN	2
HG03118	AFR	ESN	1
HG03120	AFR	ESN	1
HG03123	AFR	ESN	2
HG03127	AFR	ESN	1
HG03129	AFR	ESN	2
HG03135	AFR	ESN	2
HG03157	AFR	ESN	1
HG03159	AFR	ESN	2
HG03162	AFR	ESN	2
HG03175	AFR	ESN	1
HG03189	AFR	ESN	2
HG03196	AFR	ESN	1
HG03199	AFR	ESN	1
HG03202	AFR	ESN	1
HG03209	AFR	MSL	1
HG03241	AFR	GWD	2
HG03246	AFR	GWD	1
HG03247	AFR	GWD	2
HG03249	AFR	GWD	1
HG03259	AFR	GWD	2
HG03265	AFR	ESN	1
HG03268	AFR	ESN	1
HG03280	AFR	ESN	1
HG03298	AFR	ESN	1
HG03300	AFR	ESN	2
HG03301	AFR	ESN	1
HG03307	AFR	ESN	1
HG03309	AFR	ESN	2
HG03312	AFR	ESN	2
HG03342	AFR	ESN	2
HG03352	AFR	ESN	1
HG03363	AFR	ESN	2
HG03369	AFR	ESN	2
HG03373	AFR	ESN	1
HG03376	AFR	MSL	1
HG03378	AFR	MSL	2
HG03380	AFR	MSL	2
HG03382	AFR	MSL	1
HG03385	AFR	MSL	1
HG03391	AFR	MSL	1
HG03397	AFR	MSL	1
HG03401	AFR	MSL	2
HG03419	AFR	MSL	2
HG03428	AFR	MSL	2
HG03433	AFR	MSL	1
HG03436	AFR	MSL	1
HG03439	AFR	MSL	1
HG03442	AFR	MSL	1
HG03445	AFR	MSL	1
HG03449	AFR	MSL	2
HG03460	AFR	MSL	1
HG03472	AFR	MSL	1
HG03473	AFR	MSL	2
HG03476	AFR	MSL	2
HG03478	AFR	MSL	1
HG03479	AFR	MSL	2
HG03484	AFR	MSL	1
HG03499	AFR	ESN	2
HG03517	AFR	ESN	2
HG03521	AFR	ESN	1
HG03538	AFR	GWD	1
HG03539	AFR	GWD	2
HG03556	AFR	MSL	1
HG03559	AFR	MSL	1
HG03563	AFR	MSL	2
HG03571	AFR	MSL	1
HG03572	AFR	MSL	2
HG03574	AFR	MSL	1
HG03575	AFR	MSL	2
HG03578	AFR	MSL	2
NA18486	AFR	YRI	1
NA18487	AFR	YRI	1
NA18488	AFR	YRI	2
NA18498	AFR	YRI	1
NA18508	AFR	YRI	2
NA18511	AFR	YRI	2
NA18522	AFR	YRI	1
NA18853	AFR	YRI	1
NA18859	AFR	YRI	1
NA18861	AFR	YRI	2
NA18867	AFR	YRI	2
NA18870	AFR	YRI	2
NA18874	AFR	YRI	1
NA18876	AFR	YRI	2
NA18878	AFR	YRI	2
NA18908	AFR	YRI	1
NA18909	AFR	YRI	2
NA18916	AFR	YRI	2
NA18917	AFR	YRI	1
NA18933	AFR	YRI	2
NA19017	AFR	LWK	2
NA19019	AFR	LWK	2
NA19036	AFR	LWK	2
NA19038	AFR	LWK	2
NA19041	AFR	LWK	1
NA19042	AFR	LWK	2
NA19043	AFR	LWK	1
NA19092	AFR	YRI	1
NA19093	AFR	YRI	2
NA19096	AFR	YRI	1
NA19098	AFR	YRI	1
NA19099	AFR	YRI	2
NA19107	AFR	YRI	1
NA19113	AFR	YRI	1
NA19122	AFR	YRI	2
NA19130	AFR	YRI	1
NA19131	AFR	YRI	2
NA19137	AFR	YRI	2
NA19143	AFR	YRI	2
NA19146	AFR	YRI	1
NA19150	AFR	YRI	1
